id,tamil,english
8077, Indha vayasuleyu enna style da only super star',What is the style of this Viasuleu only superstar?'
8078, mass uh maranam tough uh tharanum athuku avanthaan poranthu varanum',Mas uh death taukih uh taranum he must bear it'
8079, Ippa enna panna poram sweet sapada porom super awesome',"What to do now, let's go to Sweet Sapta, super awesome'"
8080, Padam super rajini sir karthick sir unga padam semma sir',The film is super Rajini sir Karthik sir your film is excellent sir'
8081, Andha gun sozhatra style Vera level',That Gun Chola style is another level'
8082, Enna innum trending list la varala',What is not yet in the trending list'
8083, Aena style Aena presence Aena mass Aena dialogue delivery Aena gethu Only one super',"Because of style, presence, mass, dialogue delivery, Ketu only one is super.'"
8084, Good morning Guys  Kaalaila Ezhunthathum Trailer Paakka Vanthavangala Like Podunga',"Good morning guys, those who came to watch the trailer when they woke up in the morning, like it'"
8085, My Thalapathy fan thalaivar pakkkkkkkka maaaaaassssss',Me Thalapathy Bane President Pakkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkhhh'
8086, Thalaiva you are great🤗🤗marana mass thalaivar',Thalaiva you are great🤗🤗marana mass thalaivar'
8087, Bro in just  hours  m views',Pro in just hours and views'
8088, Thalivaa thalivaa da aa style is unique to thalivaa',Talaiwa Talaiwa da a style is unique to Talaiwa'
8089, Super padam rajini sir trailare ippadi athirutunna parameter eppadi irukkum',Super film Rajini sir trailer shakes like this how will the parameters be'
8090, En sun tv innum trending la teaser vara mattikinthu yyyy',My Sun TV keeps showing teasers on trending'
8091, Nawazuddin fans  hit like',Nawazuddin's Balls Hit Like'
8092, New type of Rajini but our fav old Rajini returnsvaaa thalaivaaaaaSEMMA Maranamass ',New Debe OP Rajini Bhat Yar Paw Old Rajini Retuaranchwa Thalaiwaaaaasmma Maranamas'
8093, style ke amma mogudu jai ntr jai rajini sir',Style K Amma Mokudu Jaindar Jai Rajini sir'
8094, Nawaj Ko dekhte hi tabiyat khush ho gayi',Nawaj ko tekht hi dabiat ghaus ho kayi'
8095, Trailer samaya erukku but viswasum thaan threatre paapean',Bhatt Vishwas is also the threader for the trailer'
8096, Felt like a s mass Tamil movies style',Belt Like Us Mass Tamil Movies Style'
8097, Kaliiiiitahlaivaa vangaaaaaa ithutha ethirpartheennnnnlateaa vanthalumlatesta varuvendaaaa',Why did you expect it?'
8098, Enga da trending la varala  Youtube ',Where is YouTube trending?'
8099, I am THALAPATHY fans  Nice Super star Anna',E Ama Thalapathy Paul's Nice Super Star Anna'
8100, Vera level hit aagum solravanga HIT LIKE',Those who say it is a hit on another level are like a hit'
8101, Comment pakka vanthavanga yar yar like podunga thala rage Aarambam',"Those who have come to the comment page, please like Thala Raj'"
8102, Trailer pidikalana poga vendiyadhu dhane yedhukandi dislike ahhhhhh  Yarrupa andha karuppu aadunga',"If you don't like the trailer, why don't you go?'"
8103, Dei ennadaa kadasila fight vechutteenga Pink padathula action sequence ey illiyedaa',"Hey, I've got eight at the end, did you like the movie Pink?'"
8104, dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢',dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢'
8105, Orutharu mela neenga viswasam kaatradhukaga Innoruthara yen Asinga paduthuringa Mass thala',Why are you insulting another person just because you look down on one person?'
8106, Always mass paka mass ajith sir',Alway's Mass Paka Mass Ajith Sir'
8107, Namma thala Ku epdi semaya music poduringa Yuvan eppudi',Namma tala kupdi semaya put music'
8108,  Yuvan Thala  Combo',Yuen Thala Combo'
8109,  million likes  varum nu solluravunga Hit like',Let's say Million Leagues is coming hit like'
8110, Thala super Thala sema mass Thala   m vivewers',Thala Super Thala Sema Mass Thala M Vivaverse'
8111, Thala trailer nerayanerayathara evlo per pathinga',How many people have uploaded the trailer of the movie?'
8112, Thala U once again sama sama sama',Tala u once again sama sama sama'
8113, Padam romba amaidiya irukumpola  Paawam ajith',"Pity Ajith, the film seems to be very quiet'"
8114, Waiting for Judgement Day Nerkonda Paarvai Trailer Marana Mass THALAAAAAAAA\u200d',Waiting for Judgment Day Nerkonda Paarvai Trailer Marana Mass THALAAAAAAAAA'
8115, Mass sa iruku thala trailer la',There is mass in the main trailer'
8116, Thala vera level acting neriya neriya',Different levels of acting are linear'
8117, Im Telugu    Ajith Anna nuvvu Super',This Telugu Ajith Anna Nuvvu is super'
8118, Intha acting ku thala ku Oscar award kadaikum',This acting won him an Oscar'
8119, Ellarum attendence podalam how many members eppo trailer pathutu irukenga Hit like ',"Everyone can attend, how many members, when you watch the trailer, hit like.'"
8120, appo varalaaru movie la ajith uncle ah paatha maathiriye irukku paah  semma acting ',Ajit uncle in history is like ah patha bah semma acting'
8121, Yathana Peru trailer ah repeat mode la pathutu irukenga HIT like',Ethana Beru Trailer Ah Rabeat Maa La Pathuttu Idengka Hit Like'
8122, Today morning trending no la paakkalaam',You can watch it on Today Morning Trending'
8123, Innu neraya neraya neraya nerayadhadava paakanum Pola  irukku ',It seems like we need to see more closely'
8124, Idhula yaar ellam pink movie ya parthu irukeenga',Look at who is all Pink Moaye in this'
8125, Videova parthadhum thala ya nenachu perumai patavanga like pannunga',"If you feel proud after watching the video, please like it'"
8126, That bgm goose bumps ring tone vaika poran',That Bikum Goose Pumps is going to set the ring tone'
8127, Paaandeeee padam paaka vanthuratha theater ku fst day',It is the best day to go to the theater to watch Bangdea movie'
8128, Amitabh ji Amitabh hai Baki sab chini kam',Amitabh Ji Amitabh Hai Baaghi Sub Cine Com'
8129, Good  morning  Thala fans Trailer semma ya irukunu solluravunga hit like',Good Morning Thala Pals Trailer Tell me what's up Hit Like'
8130, Superb teaser Malayalees like adi',Superb teaser malayalees like Aadi'
8131, Thala Ena oru verithanam kovam',A frenzy as head is anger'
8132, Video paakamale dislike poda mudiyathaayou tube la appadi oru option kondu vanga intha karumathala paakka mudilahathaa🤣🤣🤣',Video paakamale dislike poda mudiyathaayou tube la appadi oru option kondu vanga intha karumathala paakka mudilahathaa🤣🤣🤣'
8133, Remake of Hindi movie pinkgood one',Remake Opi Hindi Mowaye Pingakoota Onnu'
8134, Oruthar maela viswasam kaatturadhukaga innoruthara yaen asinga paduthureengaGreat lines sir',"Great links sir, why do you hate others for trusting them?'"
8135, vera vera vera level unbleavble ini thala vettai aarambam',Another level Umbilechvaplay now headhunting begins'
8136,  hig thriller movie  king maker Ajith kumar',Hig Thriller Mowaye King starring Ajith Kumar'
8137, Are u virgin Fuck me By ajith',R U Virgin Pugak Me Paya Ajith'
8138, Pakka pakka mass class thala vere level',Baka Baka mass class is a different level'
8139, MrVandu Court la ipdilam kaththa kudathu',Do not wait in the above court'
8140, Elaam Avan seyal part  vaaa',Everything he does is Bart Wang'
8141, Ini etha marri nerya nerya nerya nerya nerya padam panuga ajith sir',"Ajith sir, please make a new film'"
8142, Thalaaa ayooo neenga unmaile wonderful human being thalaaaa unga rasigaiya irukurathuku rmbaaaa proudah iruku thala',"Alas, you are truly a wonderful human being.'"
8143, Ena get up potaalum eppadi set aaguthu🤔',Ena get up potaalum eppadi set aaguthu🤔'
8144, AJITH ANNA FANS HIT LIKES',Ajith Anna Paul's Hit Leaks'
8145, Trailer mokka da ajith kelatu payale',Ajith is not listening to the trailer'
8146, Night data ku dhan neriya Peru wait panni irukkanka poola',Night Tata seems to be waiting for his close friends'
8147, yuvan annna bgm vera level',Yuvan Annana Bhagum is another level'
8148, Thalaaaaa eppavumee veraaa levelll  aduchukkaaa aale ilaaaa',Thaaaa is always a different level person'
8149, Dai antha vijay cmku aasapaduran Aana en thala eppayumae mass da ',I want that Vijay song but my head is always mass'
8150, Va thala va thala va thala',W head W head W head'
8151, Ajith Sir ha  konjam nattkal kalluchi parthale annantha kanneer varudhu',"Ajith Sir Ha, just seeing Nath Kaluchi brings tears of joy'"
8152, Veeram flop Vivegam flop Viswasam flop Jana flop G flop Attagasam flop',Veeram Blob Vivegam Blob Viswasam Blob Jana Blob Ki Blob Atakasam Blob'
8153, Mass Ajith Anna    luv u',Mass Ajith Anna Love u'
8154, Mass thala unna aduthuchukka vera aalea kedaiyathuunnai vella unnal mattume mudium u great man',Mas Thala Unna Chukka Vera Aele Kaedidu Only You Can Win You U Great Earth'
8155, Aug  varaikum wait panna mudiyathunu ninaikiravanga oru like podunga',"If you think you can't wait till then, give a like'"
8156, Ultimatestar ajith valka ultimatestar ajith valka ultimatestar ajith valka ultimatestar ajith valka',Live Ultimatestar Ajith Live Inside Tester Live Ajith Live Live Tester Ajith Live Live Tester Ajith'
8157, Its look like Pink Movie remake',It's Look Like Pink Mowaye remake'
8158, movie kandipa kaevalama tha erukuminu trailorlayae theriyuthu',Trichlor is the only way to know if it's really bad or not'
8159, Trailer mokka da ajith kelatu payale',Ajith is not listening to the trailer'
8160, Trailer pala thadava parthavanga mattum our like',Only those who have seen the trailer many times over like it'
8161, Thala endurathala avar thalayum perusa irukooo🤔',Thala endurathala avar thalayum perusa irukooo🤔'
8162, Thala intha marie different ah ippa than pakurin pakavey puthusa eruku aug vara wait pananuma',It's just this afternoon. It's fresh.'
8163, k comments in hours paaa THALA Vera level',K Comments in hours is another level'
8164, million likes fans ready  fans',Million Leagues Balls Ready Balls'
8165, Pink Trailer K likes Ner Konda parvai Trailer K likes',Pink Trailer K Leaks Direct View Trailer K Leaks'
8166, Feel like yalam avan seiyal movie let see valthukal',Beel like yalam he act mowaye late c congrats'
8167, Omg sooo smart gethu thalaaaa marana masssss',Omg Sooo Smart Ketu Dalana Marana Masssssssssssssssssssss'
8168, Pink nu hindi la vantha thoda tamil remake ah',Pink nu hindi la vanda tota tamil remake ahh'
8169, Thidinu sudden ah annoce pani trailar vitu intha alavu lam thala oruvaruku matumey',Didinu sadan ah pineapple snow trailer left this amount of lam per person only'
8170, Nanbarkely commend panitey erunga vara apalam thala fans',Friends comment paninthei inka vara appalam thala balls'
8171, Avara control panunga pls semmmmmmmmaaaa mass',Kill him plus semmmmmmmmmmmm mass'
8172, thala oda verithanamana  fans like panuga na unga kitta pesanum pa',Thala OTA crazy pals like penukai na unga khit basenum p'
8173, Enga thala ya onnum panna mudiyalala',We can't do anything'
8174, Thala Vera Movie Vantha Odane Semmaya Darisanam Panna vendiyathuthanVishwasam  Times PaathenNKP ah Epdiyu  Times paathuruven',"As soon as Thala Vera Mowaye arrives, one should have darshan of the beauty.'"
8175, Thala  a sami  I am wit',Thala Sami E Ama Wit'
8176, శ్రీహరి నటించిన శ్రీలక్ష్మి మూవీ రిమేక్ లాగా ఉంది',It looks like a remake of Srilakshmi movie starring Srihari'
8177, Anna final touch ok na  I am a Vijay fan',Anna final touch ok na e ama a vijay pan'
8178, Yow Military nee engaya inga  Rangarajpandey',Yow military ne engaya inga Rangarajpandeya'
8179, Thala dialogue delivery vara level marana waiting NKP movie',Thala dialogue delivery vara level marta vidin naf mowaye'
8180, Vera vera vera level thala maasssaaa daaaa',Another level head massage'
8181, செம Srilankan Tamil fans oru O poadu',Sema Srilankan Tamil fans oru O poadu'
8182, Naa indha trailer  time paathuten pakka pakka Thala maasss  Thala  dharisanam kedachirichi',I watched this trailer at the time of Paka Paka Thala Masses Thala Darshanam Kedachiruchi.'
8183, Nenga yen blood ivlo uri poninga thala',Why are you so bloody bloody?'
8184, Thalayuvan vera level waiting laye veri yerudhu',Thalaiyuvan is a mad bull on another level'
8185, Thala And u ada ada ada Tharam',The quality of the head and u'
8186, Thala seekirom theatre ku Va Thala ennala wait panna mudiyala',"We are looking forward to seeing you, I cannot wait'"
8187, Pakkka thala I luv u by surya fan',Bakka Thala E Love U Paya Surya Pane'
8188, Oruthar mela neenga viswasam katrathukaga innoruthara en neenga asinga paduthureenga vera level thala',You are insulting someone because of the crime and you are insulting me. It is a different level.'
8189, Nan yen murugan god a va da nu than solluvan Ana unkala sollamudila thala Annayen nenga yaru yengaluku',Why am I saying Murugan's code?'
8190, Ippuru Narayya Narayya Narayya Narayya Narayya THALA  Fans Like',Ippuru Neraya Neraya Neraya Neraya Neraya Thala Balls Like'
8191, Inga thala mattum tan Vara Eva vandhalum Ava thala inga irukatu Da dha',"Even if Eva comes here, she is still here'"
8192, Enga annan Rangaraj with Ajith sir Mass thaan 🤓🤓🤓',Enga annan Rangaraj with Ajith sir Mass thaan 🤓🤓🤓'
8193, Thala love you paaa Vera maari',Thala Love U Paya Vera Vari'
8194, Looking Like Hindi Movie Pink Remake   Like Ajith Comment Vijay',Looking Like Hindi Mowaye Pink Remake Like Ajith Comment Vijay'
8195, Periyavarae dialogue la nalla than eruku acting enga 🤣🤣🤣',Periyavarae dialogue la nalla than eruku acting enga 🤣🤣🤣'
8196, Vj Nadaka vda matan seenu Thala Nadaka koodathu gethu',Viji will not let Seenu Thala happen Ketu'
8197, M Views with k likes 🤘',M Views with k likes 🤘'
8198, Kandipaga dislike pannavan oru THALApathy fan ah iruka mudiyadhu',Definitely dislikke pannavan can not be a commander ban ah'
8199, Oruthar mela Viswasam katrudhukaga innoruthara en asinga paduthringa Mass Thala Purinjavanga purinjikonga',"To learn to trust each other, others make me ugly.'"
8200, Por Vijay  trailer vara  laval  pigil',Por Vijay Trailer Vara Level Bigil'
8201, Telugu Vijay fans like vesukondi siara chusina vallu',Telugu Vijay Balls Like Jail Susinnu Valu'
8202, Kandippa indha padam nalla odadhu Idhu Vijay sedhupathi kana padam illa',Definitely this movie will not do well this is not a movie for Vijay Sethupathi'
8203, Sk fans those who are like vj Sethupathi podra lika like theriksnum sk fans',Chuck Pauls Dos Vado Or Like Vijay Sethupathi Like The League Chuck Pauls'
8204, Appu ithu enna telegu padam matri iruku   Tamil padam yedugeda',"Appu, this is like a telegu movie'"
8205, payam da unakku  thipavali ku vara',Don't be afraid to come to Diwali'
8206, Enna pa aachu deepavali ku vareninga',Why come to Diwali?'
8207, vijay sethu kerala fans like here',Vijay Sethu Kerala Pals Like Tere'
8208, All the best sar I am karnataka',All the best Sir E Ama Karnataka'
8209, Entha naaaida VSP ananuku dis like pannathu kaila kedachinga mavana kollama vidamataaa i will prey god for blockbuster sangatamizhan',I Will Pray Code Por Blockbuster Sangatamizan'
8210, First odamba korachuto apram nadika vanga thayavu senju 🥵',First odamba korachuto apram nadika vanga thayavu senju 🥵'
8211, Thalapathi fan but vijaysethupathi romba pudikkum',Thalapathy Pan Bhat Vijay Sethupathi is very interesting'
8212, Semma',Semma'
8213, Bigil trailerah vida ithu massah irukku',It's better than the Beagle Trilerch'
8214, Vs anna semma🤗epavum pola neega vera level',Vs anna semma🤗epavum pola neega vera level'
8215, Ivan mokka but epdiyo herova agiten',Ivan Mokka But somehow I became a hero'
8216, Tamilar tamilar nu soldringa Produce pandradhuku reddy dhan kedaichara',"Tamils \u200b\u200bsay Tamils, they are ready to do brats'"
8217, Iam sk fan aanaa trailer semma',"The breed is lice, but the trailer is a sheep'"
8218, bro unga padam bigila vita nalla hittakanum sangatamilan',Bro your film Bigila Vita is also a good hit Sangatamizhan'
8219, Parthaale theriyudhu pakka flop nnu Yen ipdi worth illadha padangala choose pandraaru nu theriyala',I don't know why you are making pictures that don't fit like this.'
8220, Yarelam dislike paninglo avangellam Onnum illa reason mtm slitu pongada naingla',"If anyone is disliking, they have nothing, don't worry about the ration level.'"
8221, Sumara irunthalum Vijay sethupathikaga like podalam',You can like Vijay Sethupathi even if it's just a little bit'
8222, Ne thalabathita mokka vanga readya iru d',Are you commander ready to buy mokka?'
8223, Who all agree Vijay sethupathi ku inda mari dance set aagala nh',Vadho All Agree Vijay Sethupathi Ku Inda Mari Dance Set Agala Nah'
8224, Vijay Sethupathi in commercial plot set ellam pottu dance aadi irukaru appo pakka flop than',"Because of Vijay Sethupathi's performance, he put on all the float sets and danced, then there was a flop on the side.'"
8225, yenda trailer yeppa parthalum slowmotion la potu saavadikireenga',Why do you put it in slow motion whenever you watch the trailer?'
8226, ji ok dha yellamebut bigil kuda venama irundhuchi Na unga padam yellame pathrukkebut thalapathyn varappayevena irundhalu vittu kuduka maato Vazhtukal nanba',"G.Ok, you don't want even Beagle, but your film is all Bhadrukkeput Thalapathy.'"
8227, Ena da hindi la varuthu title uu',The title is U in Hindi'
8228, Is every movie release to Telugu jai Vijay',Is Every Movey Release to Telugu Jay Vijay'
8229, Sir telugu lo kuda dubbing cheyande',Sir telugu lo also dubbing seinde'
8230, Im in Karnataka  but I  love  vijay sethupathi love you  sir',Im in karnataka but i love vijay sethupathi love you sir'
8231, Vijay Setupati Telugu fans like here',Vijay Sethupathi Telugu Pals Like Tere'
8232, Meru Telugu vallaku Kuda paricham inaru sir',Meru telugu white is also gifted today sir'
8233, విజయ్ సేతుపతి  fan from andra',Vijay Sethupathi fan from Andra'
8234, Tamil tamil nu  nalla sambathingadananga thanda aemalimodhala tamilpesura ponungaloda nadingada',Acting with Tamil speaking girls who are good earners in Tamil Tamil'
8235, Hindi dabbed kab aayegi ye movie vijay shetupati ki plzz rply me',hindi typepet coffee aayegi a mowaye vijay sethupathi ki plus reply me'
8236, Jai Vijay Sethu pathi Jai Chiranjeevaa Syeraa Narasimha Reddy Syeraa Vijay pandya',Jai Vijay Sethu Patti Jai Chiranjeeva Sayera Narasimha Reddy Sayera Vijay Pandya'
8237, vedu ఒక హీరో veniki ఒక cinimana వాణి ఫేస్ హీరో లాగా లేదు dongodu ల vundi',vedu a hero veniki a cinimana voice face not like a hero dongodu la vundi'
8238, Enna Pulaingala Miratalama  BigilTrailer from Oct th  PM',What points can be threatened beagle trailer frame ocht th pin'
8239, Vs waight koracha nalla irukkum wara wara romba waight podrapla',Vomiting is good. Don't vomit too much'
8240, Asuran Madri ini oru padam varathunga hands up',Asuran Monri is now a film called Hunts Sub'
8241, Super Semma keka I am from Telugu I like Vijay sethupathi Anna so much love u anna',Super Semma Kekka E Ama Prem Telugu E Like Vijay Sethupathi Anna So Much Love U Anna'
8242, Thalapathy  Elam Diwali ka BIGILTHALAPATHY SangaThamizhanVJS KaithiLokesh kanagaraj',Thalapathy Elam Diwali K Bixthalpati Sangattamishanwajsa Kaitilokesha Kanagaraj'
8243, Farmers oda varumaya kaati Ella movie layum kalla kattunga da Thuu',Farmers OTA shows poverty and fakes everything'
8244, Im Telugu VijaySethupathi AnnA Movie Pakka Blockbuster',This Telugu Vijay Sethupathi Anna Mowaye Page Blockbuster'
8245, Secand  rajini you sir Telugu fan sira superhit acting sir',Second rajini u sir telugu pan small superhit aceting sir'
8246, Deepawali kala katta pothu bigil kaithi sanga thamizhan',Public Beagle Prisoner Association Tamilan during Diwali period'
8247, K ramachandran in  M g ramachandran',K Ramachandran in M \u200b\u200bKi Ramachandran'
8248, I am Telugu but Vijay anna fan',E Ama Telugu Bhat Vijay Anna Bane'
8249, Mokka palaya film sayal niraya irukku',There is a lot of imitation of old films'
8250, Thamizh  ipdi indha Oru tag vechi padam pandradhe trend aiduchii Cinema koothadi thevudia pasangalukku',Tamil Ipti This One Tag Vechi Film Pande Trend Aiduchie Cinema Koothadi Devudiya Basanadu'
8251, Padam paru singatamilan ana   la enna pa Hindi la potu irukinga  Idu enna da koduma',"What is the name of the movie Singathamizhan, what is the Hindi version of this movie?'"
8252,  la enna pa hindi ingaum Hindi ya',What is Hindi here?'
8253, Makkalta kaitatu vaangae vivasayatha base panni Padam edukirainga idanala Tamil cinemavukum use illa vivasaigalukum use illa',"You are making a film based on agriculture to get applause from the people, so there is no us for Tamil cinema and no us for the farmers.'"
8254, Amam eppa puthu trailer poduvingo   mgr kala thu padama  Re release panna poran gala ',"Aam, when are you going to release the new trailer?'"
8255, Commercial ok arasiyaluma Unga mass max to max  C ',Kametsiyal ok politics and unga mass mass to mass c'
8256, Ohhh aaa Telugu remake of RAVI TEJAS  BENGAL TIGER ',Ohhh aaa telugu remake of Ravi Tejas Girls' Decare'
8257, Kevalama irukuyepo ne iron Man ku voice kuduthiyo apove una veruthutan promise ah un movie lam paaka maatan',"If it's bad, if you drink iron man ku voice then promise with your award ah your mowaye lam won't see you'"
8258, Padam Vettri Pera Vazhthukkal By SK Fans',"Best wishes for the success of the film, Pya Chuck Pals'"
8259, VS annan eppothum semma Love from kerala',Visha Annan Always Semma Love Prem Kerala'
8260, Vj naalu nalla movie kku naduvula oru commercial mokka padam pannuvaaruathu than idhu',This is what Viji Nalu is doing in the midst of four good movies.'
8261, ਪੱਟੇਟੋ ਦਾ ਸੱਬਜੀ ਸੈਂਨੂ ਵਿਚ ਬੋਤੇ ਪਿਆਰਾ ਲਗਦਾ।।',Patteto's sabji looks cute in Sennu.'
8262, Iron Man voicelaya onnoda Massa pathatonda da lossupayale',Ion man vicelaye onnota massa tsikchanta da lossuppayale'
8263, Thalaiva     VJS lub',Taliva Wijs Loop'
8264, All the best from KICHCHA BØSŚ  fans karnataka',All the best from KICHCHA BØSŚ fans karnataka'
8265, Vijaya vallu movies teesthunnaraa inkaa wow',Vijaya Vallu Movis Deestunnara Inca Wow'
8266, Mirchi shiva nu nenachuten da first',I thought of Mirchi Siva'
8267, Vijay sethupathi voice I like you',Vijay Sethupathi Voice I Like You'
8268, Sanga thamilan nu title  vachutu  enna just remix song because',Sangha Tamilan Nu Title Vachuttu Enna Just Remix Song Besase'
8269, Raashi  Is so cute  and vj mass ji ',Rasi is so gide and vj mas g'
8270,  ithu yengayo paatha mathiri la irukku',It's somewhere in Patha model'
8271, Mujhe doubt h   ye movie YouTube pe available hogi ',Mujahi taut ha a mowaye youtube be awailable haji'
8272, Dae over build ha irruku da padam oodumaaaaa',The film is over built'
8273, Intha manusan enna pannunalum pidikuthu athu en apdinu therila pa',I don't know what this man is doing'
8274, Makkal Selvan Fan from Tollywood   We need u makkal in Tollywood',Makal Selvan Pan Prem Tollywood We Need U Makal In Tollywood'
8275, Bro starting dialogue la konjam thimiru irikae Thappa irikae bro',"The pro starting dialogue is a bit arrogant, but the pro is a bit arrogant'"
8276, Vaa thalaiva via diwali mass ur movie bikil  out',Va talaiwa via diwali mas ur mowaye bike out'
8277, Thalaivaa unnaku Commercial set agala Thalaivaa  Vikram Vedha mathiri class ahh padam Nadi Thalaivaa nanga pakkurom',"Thaliva Unna is not set because of Kameshti, Thaliva Vikram Veda style class that film Nadi Thaliva we are watching.'"
8278, Nice Trailer But Dhool Padam Maathiri Irukumonu Oru Chinna Doubt  Vera Yaarkavathu Intha Doubt Vanthrukaa',Nice trailer but a little doubt that it looks like a powder film. Has anyone else got this doubt?'
8279, Mass vjshe is more mass den ajith vj rajni',Mass VJC Is More Mass Ten Ajith VJ Rajini'
8280, En da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae',"It's like slow motion in my trailer, half of the movie ends in slow motion.'"
8281, Iam from keraLa  Vj sethupathi annan uyir',Inam Prem Kerala Viji Sethupathi Annan Bio'
8282, DEivame  how many politics drama dah dei',God how money politics drama the day'
8283, Want nevetha pethuraj hot song ',Wand Nivetha Pethuraj Hot Song'
8284, Yen Mandakasayam  Mela irukaravan kittaye keklame',You can ask the one who is above my moon'
8285, I love vjs',E Love Wijs'
8286, Ennaku enamo VJS intha padathula Alaga irrukura maathiri irruku',"To me, Wijs looks like a beauty in this film'"
8287, Asalu thamil lo face baga lekunna hero avvochu appa',Asalu Tamil Low Pass Baga Legunna Hero Avvuchu Appa'
8288, Vjs poda iron man ah keduthavane loosu',Wijs bota ion man ah the bad one lusu'
8289, Thala Rasigayin sarbaga Sangathamizhan vetri adaya vazhuthukal',"On behalf of Thala Rasikan, Sangathamilhan hopes to win'"
8290, Diwali realise panna tharamana sambavam ah irukum',A Diwali release will have a quality incident'
8291, Oru varshathuku  padam edukura mudhal hero',The first hero to film for a year'
8292, Makkal Selvan fans our like podungo',People Selvan Pals Yr Like'
8293, Dai iron man konnavana un padam atta flop aganum daa',"Toy Ion Man Konnavane, your film should be a flop'"
8294, I hate v s  Iron man kill it v s',It was a day to kill the ion man'
8295, climax la farmers ku neethi vangi kudukaroum',"At the climax, we get justice for the farmers and drink'"
8296, Neenga venaarea la class ahposh ah suthalamaana enn masss ennanu theriyadhu laa',You don't know what massages are for class cupoos ah'
8297, Ennayyanamma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth',Oilayyanamma Makal Selvan's trailer is as thrilling as a Beul Thalapathy Mowaye Patha.'
8298, Not a suitable movie for vjs',Not a Sunitabile Mowaye Bor Wijs'
8299, Vijay sethupathi Anna bayangara mass said irukaru',Vijay Sethupathi Anna Bangkara mass site'
8300, Ella veetu pillaigalum oramaa nillunga Dhanush is coming for you',All house kids stand aside Dhanush Ice Coming Por U'
8301, Yov  GV Prakash nee music mattu poduyabgm',Yov GV Prakash you are not only music but also EP'
8302, Kannir varuthu thalaiva epdi solane theryla enala mudila love u so much',"I don't know how to tear up Thalaiva, I can't help but love you so much'"
8303, Daiii yennadaa viswasam bgm maadhiri irukku',"Hey, it's like I'm giving up'"
8304, Dhanush enaya Ivan manushaana paaah verithaanamana acting raa dei',Dhanush Ennaiya Ivan Manushana Baagu Crazy Acting Raw Dei'
8305, Semma mass dhanush Anna veara level Gv bgm mass',Semma mas Dhanush Anna another level give begum mas'
8306, I like no dahunsh bolt majju',E Like No Dhanush Bold Majiju'
8307, Thalaaivaa 🤟 Thalapathy Fans Like Hey 🤙',Thalaaivaa 🤟 Thalapathy Fans Like Hey 🤙'
8308, Bgm ppa i love you thalaivaa',Bikum pba e love u thalaiva'
8309, Verra level  ah Anna',Another level ah bro'
8310, Dhanush na summa othunghi povum ungha  bangam mha irruku treaser',Dhanush na summa atungaki go vum unga pangam maha irruku treasurer'
8311, Bgm ye therikka viduthu vaa Thalaivaaà🤩🤩',Bgm ye therikka viduthu vaa Thalaivaaà🤩🤩'
8312, Bgm mass irrukunu solluvanga like podungabangam ',Put like and share to say that there is bigum mass'
8313, Namaku thevaiyanatha nama tha adichi vanganum',Let us buy what we need'
8314, Namaku thevayanadha naama dhan adichu vanganum',We will buy what we need'
8315, Bgm semma ya irruku nu solravunga like podunga',Bikum semma ya irruku say like'
8316,  millions views varunu solravanga like panunga',Please like those who say they will get millions of views'
8317, kaada iruntha eduthapanenga  poova irruntha pudingupenanga  padipu mattum tan nambha kita irruntha  eduthuka va mudiyathu',"It is not only the Pudingupenanga study that was there, but it is not possible to take it that was near to believe.'"
8318, Thalaivar asuran ah vanthurukaruLast la bgm vera levell',The leader monster ah comes and shares another level in Karulust'
8319, Trailer paka mass vara level Marana mass Dhanush intro Vera level',Trailer Page Mass Vara Level Death Mass Dhanush Ino Or Another Level'
8320, Marana waiting   By thalapathi fan',The commander is afraid of death'
8321, Thaaaaa ippo eduthu vai da andha Oscar ah',Taala take that Oscar ah now'
8322, Gv Prakash music Vera level gv fans hit like here',GV Prakash Music Another Level Give Balls Hit Like Tere'
8323,  times ku mela paathavanga mattum',Only those who follow the Times'
8324, Oct  kku wait pandranvanga mattum like podunga',Just like to get weight for Ocht'
8325, BEST WISHES FROM THALAPATHY ANNA FANS FOR DHANUSH',Best Special Frame Thalapathy Anna Pals Por Dhanush'
8326, GO HEAD MIN  K  CONFIRN TMRW TRENDING',Go head min k konabran dmrv trending'
8327, Trialer super maran padam vettiri pera valthukal',Best wishes for Tripler Super Maran film release'
8328, Maarana MASS  trailer  From Malaysia',Alternative mass trailer frame malaysia'
8329, Seeing Prakash Raj after long time',Ceiling Prakash Raj Abidare Long Time'
8330, VeriThanam OverloadedNamaku Thevayanadha nama dha aduchuuu VanganooooooGoosebumps',The frenzy is what we need for the update.'
8331, Telugu dhanush fans hit like here',Telugu Dhanush Balls Hit Like Tere'
8332, Yaru padam vanthalum varadum thanush Anna padam vanthale tamil nade miratdum by thanush veriyan',"Dhanush is a bigot, fearing that Tamil Nadu will be threatened if Dhanush Anna's film comes out.'"
